"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PRIM1",1.51322515151515,5.04778202247191,22.8306415899454,5.41530722632745e-77,4.30549944659047e-75,164.784637113699
"PSMD10",1.39970757575758,6.69627640449438,22.8063440788808,6.99743385680875e-77,5.52966909448056e-75,164.529033611893
"ITGA6",1.46047393939394,5.88511460674157,22.7626060686237,1.11004972885969e-76,8.71924000879608e-75,164.068866402341
"STARD5",-1.23937222222222,5.24030112359551,-22.7603575779842,1.13669942455018e-76,8.87510406988607e-75,164.045208174158
"SNRPB",1.20630565656566,7.43877528089888,22.7229767016863,1.68634630245075e-76,1.3088255617652e-74,163.65186655287
"SORL1",-1.83832111111111,8.62236179775281,-22.6942703941224,2.2830248452006e-76,1.76144147672016e-74,163.349769823037
"CDC20",1.92682505050505,4.65151011235955,22.673153836965,2.85297499436393e-76,2.18823182067714e-74,163.127527061259
"ZG16",-2.15233797979798,6.38474831460674,-22.6408227602768,4.01328345925939e-76,3.06018731142007e-74,162.787226600486
"GRAMD1C",-1.82602242424242,5.7277393258427,-22.6212313430653,4.9352840857033e-76,3.74134704613287e-74,162.581000085718
"FBP1",-2.45835080808081,8.715,-22.6095168741804,5.58492214940625e-76,4.20935259572879e-74,162.457683110148
"CCT5",1.11489484848485,7.90444269662921,22.6056425160007,5.81807820076083e-76,4.340445514319e-74,162.416897147252
"UBE2Q1",1.10092474747475,8.57863370786517,22.6055228735057,5.82543112973254e-76,4.340445514319e-74,162.415637644435
"NUP133",1.34986191919192,6.30232808988764,22.5825542171105,7.42394875937209e-76,5.50004931099163e-74,162.17383281203
"IGF1",-2.75994101010101,6.93566966292135,-22.5434859633215,1.12143154937843e-75,8.21480110805921e-74,161.762498377356
"RDH16",-2.8688504040404,8.43292584269663,-22.5220155085005,1.40679032853463e-75,1.02475637395324e-73,161.536423493189
"NCAPG",1.88435303030303,5.04287640449438,22.5129653099824,1.54786326367957e-75,1.12125494972878e-73,161.441124335047
"BUB1B",1.73517666666667,4.68818651685393,22.5103298110354,1.59154497203757e-75,1.14652789449712e-73,161.413371882563
"PSMD14",1.16061525252526,8.72514157303371,22.5004599073866,1.76637477945357e-75,1.25856616116366e-73,161.309437440156
"CIDEB",-1.91348363636364,9.53427191011236,-22.4991798737113,1.7904131554215e-75,1.2687607137794e-73,161.295957898178
"RCAN1",-1.89526565656566,8.34907415730337,-22.4809920808931,2.1695382609173e-75,1.5291140207622e-73,161.104423770266
"SLC22A1",-4.08380414141414,8.41534157303371,-22.4735794313006,2.3461997285869e-75,1.64473646564756e-73,161.026358854717
